video_name,batch,num_valid_ratings,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,rating_11,rating_12,rating_13,rating_14,rating_15,rating_16,rating_17,rating_18,rating_19,rating_20,rating_21,rating_22,rating_23,rating_24,rating_25,rating_26,rating_27,rating_28,rating_29,rating_30,rating_31,rating_32,rating_33,rating_34,rating_35,rating_36,rating_37,rating_38,rating_39,rating_40,rating_41,rating_42,rating_43,rating_44,rating_45,rating_46,rating_47,rating_48,rating_49,rating_50,rating_51,rating_52,rating_53,rating_54,rating_55,rating_56,rating_57,rating_58,rating_59,rating_60,rating_61
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3500k_hevc_nvenc,J,37,27.0,13.0,28.0,37.0,27.0,57.0,81.0,41.0,79.0,42.0,40.0,33.0,50.0,38.0,51.0,55.0,87.0,59.0,59.0,47.0,83.0,50.0,22.0,4.0,73.0,34.0,75.0,42.0,41.0,28.0,50.0,57.0,71.0,24.0,87.0,15.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_5000k_h264_nvenc,J,37,20.0,29.0,29.0,53.0,37.0,45.0,29.0,38.0,56.0,38.0,35.0,45.0,59.0,37.0,42.0,59.0,98.0,69.0,78.0,46.0,72.0,69.0,66.0,94.0,73.0,24.0,78.0,21.0,28.0,28.0,41.0,57.0,50.0,22.0,92.0,24.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_500k_av1,J,37,11.0,7.0,27.0,18.0,33.0,30.0,46.0,26.0,28.0,18.0,22.0,25.0,31.0,27.0,34.0,53.0,50.0,26.0,21.0,31.0,31.0,46.0,22.0,37.0,40.0,17.0,49.0,7.0,28.0,4.0,41.0,0.0,14.0,21.0,38.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_600k_hevc_nvenc,J,37,34.0,12.0,27.0,15.0,8.0,21.0,22.0,9.0,29.0,9.0,21.0,22.0,32.0,37.0,61.0,59.0,50.0,59.0,63.0,44.0,41.0,37.0,38.0,55.0,71.0,33.0,1.0,15.0,28.0,6.0,27.0,0.0,74.0,22.0,37.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03,G,36,59.0,43.0,41.0,71.0,78.0,59.0,34.0,45.0,57.0,59.0,60.0,62.0,57.0,51.0,56.0,29.0,30.0,55.0,55.0,32.0,82.0,46.0,35.0,79.0,78.0,39.0,48.0,58.0,38.0,42.0,45.0,51.0,19.0,56.0,29.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1000k_h264_nvenc,G,38,24.0,17.0,34.0,13.0,25.0,29.0,62.0,26.0,22.0,7.0,8.0,21.0,22.0,4.0,49.0,14.0,60.0,46.0,32.0,45.0,33.0,43.0,18.0,7.0,22.0,0.0,31.0,26.0,10.0,14.0,22.0,7.0,12.0,24.0,64.0,25.0,74.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1300k_av1,G,38,68.0,61.0,49.0,40.0,71.0,58.0,61.0,46.0,50.0,59.0,71.0,64.0,61.0,50.0,51.0,47.0,67.0,28.0,36.0,87.0,26.0,51.0,36.0,55.0,66.0,64.0,60.0,19.0,50.0,33.0,24.0,60.0,59.0,51.0,55.0,56.0,38.0,42.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1500k_hevc_nvenc,G,38,55.0,46.0,64.0,54.0,78.0,54.0,62.0,58.0,40.0,50.0,69.0,53.0,54.0,67.0,63.0,61.0,75.0,39.0,41.0,86.0,83.0,59.0,65.0,37.0,65.0,71.0,69.0,28.0,29.0,43.0,39.0,52.0,50.0,42.0,63.0,29.0,62.0,59.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_2500k_h264_nvenc,G,38,59.0,56.0,28.0,40.0,83.0,59.0,64.0,35.0,45.0,51.0,59.0,33.0,58.0,63.0,50.0,55.0,29.0,37.0,61.0,46.0,32.0,55.0,35.0,38.0,43.0,57.0,59.0,40.0,48.0,78.0,52.0,55.0,41.0,49.0,52.0,25.0,70.0,44.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3000k_av1,G,38,64.0,42.0,75.0,37.0,82.0,41.0,55.0,51.0,46.0,60.0,69.0,58.0,63.0,59.0,49.0,68.0,80.0,36.0,59.0,87.0,59.0,50.0,45.0,36.0,69.0,71.0,78.0,16.0,29.0,77.0,43.0,53.0,54.0,50.0,75.0,28.0,74.0,57.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3500k_hevc_nvenc,G,38,62.0,46.0,48.0,54.0,58.0,59.0,62.0,51.0,64.0,50.0,78.0,64.0,61.0,74.0,50.0,47.0,85.0,37.0,36.0,64.0,67.0,54.0,26.0,44.0,19.0,87.0,69.0,16.0,54.0,40.0,30.0,53.0,49.0,50.0,69.0,28.0,62.0,56.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_5000k_h264_nvenc,G,37,64.0,22.0,48.0,41.0,82.0,70.0,61.0,46.0,45.0,59.0,78.0,66.0,59.0,50.0,56.0,50.0,45.0,50.0,87.0,50.0,50.0,26.0,35.0,67.0,93.0,50.0,16.0,27.0,73.0,44.0,53.0,50.0,54.0,65.0,41.0,39.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_500k_av1,G,38,52.0,45.0,61.0,50.0,56.0,50.0,67.0,42.0,37.0,28.0,41.0,41.0,51.0,59.0,58.0,59.0,69.0,29.0,49.0,50.0,41.0,50.0,52.0,13.0,66.0,35.0,64.0,7.0,26.0,22.0,26.0,43.0,61.0,29.0,45.0,24.0,75.0,27.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_600k_hevc_nvenc,G,38,38.0,23.0,52.0,14.0,55.0,30.0,63.0,29.0,24.0,28.0,22.0,32.0,27.0,31.0,50.0,15.0,52.0,34.0,47.0,45.0,34.0,50.0,43.0,0.0,26.0,35.0,36.0,11.0,25.0,38.0,21.0,27.0,17.0,37.0,37.0,5.0,42.0,27.0,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00,G,34,57.0,92.0,90.0,78.0,67.0,90.0,100.0,66.0,62.0,95.0,35.0,82.0,96.0,38.0,3.0,27.0,79.0,72.0,54.0,47.0,71.0,69.0,82.0,70.0,74.0,98.0,48.0,72.0,91.0,96.0,100.0,79.0,92.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_10000k_h264_nvenc,G,33,61.0,89.0,69.0,95.0,54.0,97.0,100.0,73.0,64.0,53.0,92.0,40.0,11.0,65.0,85.0,81.0,95.0,73.0,100.0,67.0,85.0,62.0,66.0,78.0,74.0,77.0,68.0,97.0,72.0,73.0,91.0,100.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_1500k_av1,G,37,59.0,58.0,87.0,71.0,63.0,83.0,80.0,79.0,71.0,49.0,69.0,46.0,72.0,55.0,30.0,91.0,89.0,50.0,56.0,78.0,58.0,59.0,62.0,15.0,69.0,80.0,73.0,63.0,97.0,72.0,74.0,75.0,91.0,100.0,83.0,75.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2000k_hevc_nvenc,G,36,61.0,43.0,69.0,60.0,29.0,62.0,32.0,72.0,34.0,62.0,52.0,42.0,18.0,36.0,71.0,95.0,49.0,50.0,77.0,93.0,64.0,50.0,69.0,76.0,59.0,33.0,69.0,43.0,88.0,70.0,60.0,25.0,63.0,84.0,50.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2300k_h264_nvenc,G,34,20.0,17.0,14.0,41.0,8.0,6.0,0.0,7.0,0.0,55.0,1.0,38.0,0.0,0.0,12.0,50.0,17.0,7.0,13.0,36.0,24.0,30.0,11.0,0.0,37.0,18.0,33.0,46.0,6.0,17.0,0.0,0.0,13.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5000k_av1,G,37,69.0,91.0,92.0,77.0,41.0,97.0,100.0,75.0,75.0,71.0,90.0,44.0,76.0,80.0,11.0,29.0,88.0,100.0,58.0,94.0,58.0,77.0,70.0,63.0,78.0,45.0,78.0,69.0,99.0,73.0,54.0,91.0,95.0,100.0,100.0,91.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_500k_av1,G,37,60.0,58.0,69.0,65.0,29.0,64.0,63.0,59.0,23.0,82.0,88.0,40.0,82.0,32.0,70.0,92.0,78.0,87.0,54.0,87.0,57.0,44.0,50.0,45.0,31.0,33.0,81.0,21.0,79.0,40.0,41.0,39.0,51.0,75.0,30.0,68.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5300k_h264_nvenc,G,35,76.0,54.0,43.0,68.0,7.0,53.0,8.0,43.0,11.0,63.0,56.0,39.0,76.0,21.0,74.0,72.0,82.0,51.0,48.0,93.0,10.0,36.0,51.0,16.0,31.0,12.0,50.0,72.0,49.0,82.0,72.0,50.0,53.0,13.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_6000k_hevc_nvenc,G,35,75.0,86.0,91.0,53.0,88.0,100.0,70.0,77.0,64.0,93.0,43.0,89.0,75.0,90.0,92.0,72.0,94.0,79.0,59.0,60.0,73.0,64.0,25.0,78.0,91.0,84.0,72.0,94.0,52.0,74.0,69.0,91.0,93.0,78.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_800k_hevc_nvenc,G,36,72.0,87.0,41.0,68.0,33.0,54.0,35.0,69.0,6.0,46.0,59.0,42.0,43.0,40.0,80.0,92.0,41.0,50.0,29.0,56.0,56.0,59.0,49.0,76.0,50.0,35.0,82.0,33.0,75.0,40.0,59.0,50.0,56.0,73.0,60.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18,K,46,50.0,61.0,72.0,73.0,72.0,43.0,73.0,28.0,36.0,31.0,53.0,81.0,23.0,65.0,59.0,30.0,65.0,80.0,70.0,36.0,49.0,54.0,38.0,46.0,54.0,66.0,43.0,41.0,49.0,44.0,56.0,73.0,61.0,65.0,59.0,34.0,38.0,55.0,50.0,51.0,42.0,71.0,40.0,60.0,67.0,79.0,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,K,47,60.0,29.0,100.0,44.0,97.0,29.0,37.0,16.0,31.0,45.0,21.0,52.0,12.0,31.0,49.0,29.0,32.0,52.0,27.0,55.0,39.0,17.0,54.0,34.0,33.0,42.0,66.0,50.0,27.0,22.0,21.0,55.0,50.0,50.0,24.0,50.0,27.0,18.0,27.0,12.0,30.0,32.0,59.0,34.0,52.0,68.0,45.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1300k_av1,K,47,59.0,51.0,83.0,48.0,97.0,33.0,51.0,29.0,23.0,45.0,52.0,45.0,18.0,50.0,57.0,58.0,76.0,50.0,37.0,76.0,45.0,51.0,46.0,34.0,67.0,91.0,56.0,42.0,30.0,50.0,37.0,64.0,59.0,56.0,46.0,50.0,30.0,49.0,53.0,50.0,50.0,57.0,60.0,38.0,52.0,70.0,57.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1500k_hevc_nvenc,K,47,41.0,50.0,76.0,26.0,98.0,16.0,54.0,19.0,59.0,21.0,37.0,61.0,21.0,51.0,52.0,31.0,50.0,50.0,64.0,67.0,40.0,37.0,68.0,38.0,45.0,56.0,60.0,43.0,46.0,32.0,36.0,45.0,72.0,52.0,87.0,50.0,39.0,28.0,63.0,36.0,50.0,43.0,74.0,30.0,69.0,70.0,57.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_2500k_h264_nvenc,K,47,70.0,49.0,68.0,63.0,97.0,19.0,70.0,37.0,21.0,56.0,45.0,73.0,14.0,60.0,50.0,23.0,57.0,30.0,68.0,26.0,39.0,40.0,54.0,41.0,53.0,53.0,54.0,43.0,68.0,51.0,35.0,59.0,49.0,51.0,48.0,51.0,38.0,38.0,46.0,36.0,29.0,40.0,71.0,39.0,60.0,71.0,65.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3000k_av1,K,47,50.0,49.0,87.0,54.0,98.0,39.0,76.0,38.0,28.0,45.0,25.0,73.0,37.0,47.0,72.0,29.0,79.0,81.0,100.0,74.0,38.0,12.0,54.0,40.0,83.0,54.0,56.0,49.0,41.0,32.0,48.0,60.0,62.0,49.0,79.0,41.0,39.0,48.0,49.0,56.0,59.0,34.0,74.0,41.0,65.0,71.0,71.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3500k_hevc_nvenc,K,47,52.0,50.0,88.0,58.0,97.0,33.0,68.0,35.0,30.0,26.0,64.0,89.0,17.0,65.0,66.0,29.0,77.0,24.0,74.0,63.0,33.0,45.0,50.0,53.0,68.0,44.0,73.0,44.0,56.0,50.0,71.0,55.0,93.0,76.0,86.0,50.0,37.0,74.0,55.0,68.0,52.0,32.0,74.0,23.0,79.0,70.0,59.0,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_5000k_h264_nvenc,K,47,73.0,49.0,84.0,37.0,83.0,50.0,68.0,38.0,18.0,44.0,33.0,55.0,47.0,58.0,53.0,55.0,54.0,50.0,74.0,78.0,33.0,72.0,59.0,37.0,43.0,64.0,67.0,42.0,33.0,50.0,42.0,68.0,73.0,52.0,69.0,50.0,38.0,22.0,43.0,34.0,54.0,73.0,72.0,37.0,60.0,69.0,66.0,,,,,,,,,,,,,,
