video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count,batch
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,10,17,2,7,20,2,6,21,D
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30,Minimally Clear,Minor Artifacts Present,Moderate level of immersion,6,15,15,4,20,12,4,17,15,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,9,28,1,10,26,1,7,29,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,2,18,17,4,21,12,2,20,15,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,21,12,3,25,9,4,22,11,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_2500k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,13,22,3,14,19,3,14,19,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3000k_av1,Minimally Clear,Minor Artifacts Present,Low level of immersion,7,15,15,6,17,14,6,15,16,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,16,13,9,18,10,7,17,13,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,16,12,5,21,11,7,17,13,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,10,27,1,13,23,0,10,27,J
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,13,23,1,14,22,2,13,22,J
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,24,7,5,28,3,5,25,6,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,27,0,10,28,1,8,29,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,24,8,7,27,4,5,28,5,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,25,7,5,30,3,4,30,4,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,26,9,4,28,6,2,27,9,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,24,6,7,29,2,9,26,3,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,24,9,5,26,7,4,26,8,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,25,6,8,24,5,7,24,6,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,20,15,2,25,11,2,19,17,G
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,14,24,0,16,22,0,16,22,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00,Highly Clear,No visible artifacts,High level of immersion,25,8,1,22,10,2,22,10,2,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,25,6,2,22,9,2,24,8,1,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,23,13,1,19,15,3,25,10,2,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2000k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,17,7,11,18,7,10,18,8,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2300k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,6,27,1,4,29,0,6,28,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,29,8,0,26,8,3,27,8,2,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,20,8,10,19,8,10,18,9,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,16,10,10,15,10,8,17,10,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,29,5,1,26,7,2,28,6,1,G
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,20,6,7,23,6,7,22,7,G
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,31,9,9,28,9,4,35,7,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,Minimally Clear,Minor Artifacts Present,Low level of immersion,4,17,26,3,23,21,4,18,25,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,32,10,8,28,11,5,30,12,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,27,14,7,31,9,6,29,12,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,30,11,7,29,11,6,29,12,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,29,8,11,28,8,10,29,8,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,23,9,14,24,9,13,27,7,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,32,8,4,35,8,6,34,7,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,19,27,3,17,27,1,19,27,K
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,21,24,1,21,25,3,17,27,K
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47,Highly Clear,Minor Artifacts Present,Moderate level of immersion,17,13,3,14,16,3,14,15,4,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_10000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,20,2,13,18,3,14,17,3,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_1500k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,17,14,4,15,18,2,15,17,3,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_2000k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,19,3,11,19,4,11,19,4,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_2300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,19,1,14,19,2,14,19,2,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_5000k_av1,Moderately Clear,No visible artifacts,Moderate level of immersion,15,16,3,16,16,2,14,17,3,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_500k_av1,Moderately Clear,Severe Artifacts Present,Low level of immersion,7,18,10,9,12,14,7,13,15,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,Moderate level of immersion,17,15,3,16,16,3,15,18,2,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,18,14,3,18,13,4,20,11,4,E
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Low level of immersion,10,13,11,10,12,12,10,11,13,E
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00,Highly Clear,No visible artifacts,High level of immersion,22,13,0,21,13,1,21,12,2,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,7,29,0,3,33,2,3,31,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,13,22,1,12,23,1,12,23,1,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,11,24,1,12,20,4,11,23,2,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,21,6,8,19,9,9,18,9,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,25,9,2,25,11,0,26,9,1,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3500k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,14,0,19,17,0,22,14,0,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_5000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,19,16,0,18,16,1,19,16,0,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,23,4,6,21,8,7,22,6,F
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_600k_hevc_nvenc,Moderately Clear,Severe Artifacts Present,Low level of immersion,4,16,15,3,15,17,4,15,16,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28,Highly Clear,No visible artifacts,High level of immersion,31,9,0,28,11,1,29,10,1,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,37,4,2,38,5,0,36,5,2,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,29,12,2,26,16,1,30,11,2,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_2000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,31,9,3,33,7,3,30,10,3,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_2300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,24,15,4,24,18,1,24,16,3,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,33,9,1,30,12,1,31,11,1,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,23,4,14,24,5,15,22,6,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,35,6,1,32,8,2,34,7,1,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,34,8,0,29,11,2,32,8,2,F
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,21,7,13,23,7,13,22,8,F
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,30,5,4,28,7,3,30,6,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,13,24,3,14,23,4,11,25,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,19,16,7,18,15,7,18,15,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,25,9,4,25,10,6,23,10,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Low level of immersion,3,21,16,3,19,18,7,15,18,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,23,10,6,26,8,8,22,10,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,26,7,6,25,9,6,26,8,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,25,9,6,23,11,6,24,10,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,10,27,3,11,26,4,9,27,D
amt_gaming_vqa_dataset/0qFjruW6BjE_WarRobots_1-53_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,9,28,3,10,27,2,9,29,D
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,4,31,0,4,31,0,6,29,F
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,3,31,2,4,29,2,3,30,F
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,3,31,2,3,31,2,4,30,F
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,6,30,1,6,29,1,5,30,F
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,4,25,3,4,23,1,4,25,H
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,1,29,1,4,26,1,2,28,H
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,2,27,3,3,24,0,3,27,H
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,3,28,2,3,26,1,2,28,H
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,19,13,4,20,12,2,19,15,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,26,2,10,25,0,8,29,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,21,13,3,20,14,4,17,16,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1500k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,13,18,4,14,19,3,16,18,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,18,14,4,18,15,3,19,15,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_3000k_av1,Minimally Clear,Minor Artifacts Present,Low level of immersion,5,15,17,3,18,16,4,15,18,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,2,18,17,3,20,14,1,19,17,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_5000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,8,13,16,6,15,16,6,12,19,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,4,12,21,6,11,20,3,12,22,G
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,8,27,2,10,25,2,9,26,G
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-00_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,24,6,11,24,9,16,21,7,E
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-00_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,9,32,2,9,32,1,9,33,E
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-00_480p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,22,13,6,22,16,8,21,15,E
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,14,5,11,14,6,11,14,6,H
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,9,20,4,7,20,2,11,18,H
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,17,8,5,19,7,5,18,8,H
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05,Highly Clear,No visible artifacts,High level of immersion,22,13,1,20,16,0,18,15,3,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,13,24,0,11,26,1,12,24,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,19,4,14,20,3,12,19,6,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,22,1,12,24,1,14,22,1,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_2500k_h264_nvenc,Highly Clear,Minor Artifacts Present,Moderate level of immersion,18,16,3,17,18,2,17,19,1,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,19,2,14,21,2,14,21,2,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,High level of immersion,17,18,2,16,17,4,17,17,3,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,18,5,14,21,2,11,23,3,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,25,7,7,26,4,6,26,5,J
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_600k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,1,21,15,1,22,14,2,20,15,J
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13,Minimally Clear,Minor Artifacts Present,Low level of immersion,1,15,19,2,17,16,1,16,18,G
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,2,21,15,3,23,12,3,20,15,G
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,14,21,3,16,19,2,15,21,G
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_800k_hevc_nvenc,Minimally Clear,Minor Artifacts Present,Low level of immersion,5,12,21,3,18,17,5,12,21,G
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-28,Minimally Clear,Severe Artifacts Present,Low level of immersion,4,8,22,2,12,20,3,10,21,D
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-28_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,16,17,1,15,19,0,15,20,D
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-28_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,8,25,1,11,23,2,10,23,D
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-28_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,16,17,1,14,20,2,15,18,D
