video_name,total_ratings_count,valid_ratings_count,unset_count,final_rate1,final_rate2,final_rate3,final_rate4,final_rate5,final_rate6,final_rate7,final_rate8,final_rate9,final_rate10,final_rate11,final_rate12,final_rate13,final_rate14,final_rate15,final_rate16,final_rate17,final_rate18,final_rate19,final_rate20,final_rate21,final_rate22,final_rate23,final_rate24,final_rate25,final_rate26,final_rate27,final_rate28,final_rate29,final_rate30,final_rate31,final_rate32,final_rate33,final_rate34,final_rate35,final_rate36,final_rate37,final_rate38,final_rate39,final_rate40,final_rate41,final_rate42,final_rate43,final_rate44
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_av1,44,44,0,54,56,88,98,86,100,70,88,51,78,71,82,86,90,93,82,65,88,74,59,87,76,92,89,78,87,84,86,52,69,95,13,88,89,56,85,76,60,92,69,44,97,88,84
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_1000k_av1,44,44,0,53,85,51,70,38,49,64,55,45,30,72,64,31,68,50,52,56,71,73,55,68,42,10,18,76,46,29,17,20,49,21,59,23,27,32,77,0,28,36,35,64,55,71,41
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_1300k_av1,44,44,0,62,73,72,84,82,44,78,63,50,78,72,53,50,69,73,67,58,73,64,79,64,44,17,63,72,28,47,65,27,77,86,51,46,100,45,80,35,42,44,64,75,67,75,63
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_3000k_av1,44,44,0,61,94,29,82,82,87,96,78,71,78,72,44,87,87,83,67,74,86,65,67,69,62,94,72,77,69,74,88,65,74,50,92,48,88,80,82,78,55,87,88,63,79,85,68
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_500k_av1,44,44,0,51,79,51,36,6,19,77,58,27,15,73,37,18,24,50,62,34,8,64,73,13,27,12,9,65,7,9,10,10,38,17,13,20,16,21,15,9,21,0,16,66,25,31,27
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_10000k_h264nvenc,44,42,2,63,73,84,93,100,73,83,83,71,90,93,60,87,88,87,72,69,94,72,76,unset,67,99,77,81,90,96,94,50,80,82,79,85,78,97,73,unset,62,45,87,80,78,83,88
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_2300k_h264nvenc,44,44,0,59,26,71,19,15,13,53,58,27,0,93,73,60,17,41,51,57,8,64,76,4,15,14,21,81,18,9,18,10,39,31,9,33,9,13,30,1,13,0,22,57,13,37,29
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5300k_h264nvenc,44,43,1,68,79,28,83,74,73,68,83,71,63,90,74,69,73,88,81,62,50,55,70,unset,50,75,89,82,54,74,86,37,83,77,92,40,53,86,87,30,38,25,80,37,45,74,70
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_25000k_h264nvenc,44,41,3,59,83,81,87,81,100,87,75,56,75,93,66,96,unset,92,86,71,77,68,75,unset,73,88,91,82,91,100,83,50,77,unset,21,93,100,67,83,90,52,100,87,38,96,83,84
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_hevcnvenc,44,39,5,62,73,71,61,85,84,66,2,71,84,50,64,unset,unset,83,76,2,94,83,72,59,74,93,unset,76,78,20,82,81,79,unset,92,94,90,65,89,77,61,84,87,65,89,unset,91
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_6000k_hevcnvenc,44,44,0,57,77,29,65,78,81,71,43,51,79,51,54,96,84,88,68,1,92,67,86,68,61,90,69,11,94,58,89,41,77,87,92,94,89,69,71,85,61,78,87,82,82,75,92
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_8500k_h264nvenc,44,40,4,55,79,54,70,45,64,91,71,40,54,95,55,unset,66,68,68,70,42,83,56,unset,29,12,unset,83,29,41,79,29,81,unset,51,26,45,70,77,4,60,41,77,81,49,70,44
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,44,44,0,52,51,29,82,11,60,78,63,50,32,50,79,59,13,60,55,51,43,91,64,31,20,9,15,69,23,29,14,20,79,12,72,48,74,66,81,19,24,67,50,74,63,43,40
amt_gaming_vqa_dataset/Kenabridgeofspirits_1,44,43,1,64,77,73,83,81,73,93,82,70,79,71,35,88,84,92,77,70,84,69,64,unset,60,100,76,87,82,76,90,51,87,78,50,93,80,68,87,79,63,78,94,68,87,73,86
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5000k_av1,44,43,1,47,51,70,83,78,98,79,87,58,86,72,74,95,91,87,72,70,88,72,61,50,62,100,82,72,90,65,unset,79,82,86,31,76,90,91,99,87,69,81,78,69,77,73,95
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,44,44,0,66,50,49,44,22,22,80,68,50,34,71,81,58,14,44,59,61,49,68,78,41,17,37,40,86,0,27,9,15,58,50,50,29,67,35,64,78,20,37,54,71,78,36,44
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,44,43,1,67,50,69,77,76,80,90,76,52,71,73,73,78,93,88,84,78,94,71,59,96,76,90,81,81,98,82,83,58,70,94,13,87,43,83,96,unset,54,59,91,82,85,78,71
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1000k_av1,44,44,0,57,30,71,79,62,55,72,84,49,71,71,51,59,35,94,66,69,88,69,56,96,41,78,46,78,64,31,49,71,54,70,7,39,54,57,85,25,35,54,40,43,69,69,54
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_av1,44,44,0,52,71,71,60,84,91,80,96,49,78,72,46,92,94,93,81,70,81,69,79,78,69,91,89,78,88,71,91,40,89,89,5,85,70,68,84,62,55,64,99,66,78,75,68
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_av1,44,43,1,71,72,72,63,46,59,79,50,51,55,50,89,44,65,41,62,57,91,66,69,69,29,26,25,86,58,29,21,50,57,55,unset,59,76,80,49,80,36,72,67,80,67,81,69
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1300k_av1,44,44,0,59,77,55,77,72,76,46,52,54,74,71,85,99,81,69,63,50,63,55,69,41,55,69,56,74,48,44,63,55,64,87,71,69,79,74,100,69,27,80,69,38,94,59,71
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3000k_av1,44,44,0,60,50,70,75,79,93,80,71,54,73,74,67,81,86,69,60,71,96,67,67,44,50,66,88,51,92,50,72,68,73,96,91,83,76,83,85,66,52,90,92,83,83,79,68
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_10000k_h264nvenc,44,43,1,54,77,78,85,76,90,70,52,51,82,49,65,92,83,82,69,66,96,61,76,40,67,75,90,85,100,59,78,64,78,100,89,67,89,68,91,unset,37,70,87,69,85,77,87
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2000k_hevcnvenc,44,44,0,59,80,71,72,69,70,29,0,59,84,50,70,92,89,78,68,3,66,78,61,59,61,72,56,15,60,50,59,29,80,72,59,83,68,84,85,79,42,92,53,64,83,76,64
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2300k_h264nvenc,44,44,0,63,53,81,67,12,60,64,62,51,79,51,53,23,26,45,55,51,27,81,74,22,22,31,51,83,23,20,10,11,36,48,51,20,26,65,54,20,19,51,63,44,23,32,60
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5300k_h264nvenc,44,44,0,75,82,79,75,75,82,83,78,73,63,51,72,91,75,78,68,59,44,70,76,69,60,61,69,84,72,64,86,30,73,78,90,76,77,68,83,41,52,59,81,76,89,71,85
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_25000k_h264nvenc,44,41,3,56,81,76,75,75,96,98,76,59,86,71,71,unset,88,87,83,73,71,68,68,unset,62,100,83,85,97,92,87,54,91,92,9,78,73,92,82,76,61,74,69,64,91,unset,82
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_h264nvenc,44,41,3,59,24,31,40,8,67,75,56,53,12,50,68,unset,unset,41,48,42,23,63,75,36,0,22,15,75,32,4,9,9,35,unset,13,17,12,64,39,4,5,46,60,82,22,36,40
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_8500k_h264nvenc,44,42,2,55,33,72,80,68,83,71,68,50,63,75,60,unset,94,69,68,64,43,63,92,unset,73,70,80,81,72,44,49,46,56,92,69,52,75,81,80,17,44,44,83,63,30,70,86
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_h264nvenc,44,44,0,55,51,72,70,15,64,66,57,51,12,93,56,30,31,50,50,60,6,69,60,31,29,12,19,75,18,40,10,9,38,22,78,26,63,51,42,10,13,27,25,65,41,70,43
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1000k_h264nvenc,44,44,0,54,82,53,0,14,74,69,64,9,2,70,78,39,21,41,46,20,2,80,61,22,5,17,9,82,18,6,9,9,36,34,14,4,0,26,11,1,12,22,22,57,4,20,29
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_2500k_h264nvenc,44,44,0,65,31,26,70,66,77,71,69,49,79,72,51,56,82,69,60,68,37,72,67,41,61,42,24,80,79,45,41,50,56,58,69,54,64,55,74,70,28,62,59,82,81,42,100
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_5000k_h264nvenc,44,42,2,39,30,85,93,79,100,93,61,72,86,93,90,96,69,unset,70,55,92,74,85,unset,64,92,87,77,78,50,85,77,90,92,80,83,90,95,86,78,54,83,87,81,91,80,97
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_h264nvenc,44,42,2,62,78,47,31,17,22,65,60,0,8,91,70,unset,unset,41,52,43,8,59,39,3,7,16,13,76,22,9,9,7,33,31,4,25,28,15,50,14,5,8,7,74,17,43,28
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1500k_hevcnvenc,44,39,5,45,52,83,42,45,75,81,3,56,67,49,82,unset,unset,78,68,0,23,76,70,36,51,37,unset,27,42,35,23,19,83,unset,40,38,73,50,77,57,52,39,40,58,60,unset,50
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_1000k_h264nvenc,44,44,0,55,74,76,37,34,14,71,29,28,26,75,58,22,13,31,54,29,12,70,75,3,19,10,9,79,28,7,10,8,30,27,10,34,0,0,38,1,3,7,26,62,27,26,22
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_2000k_hevcnvenc,44,43,1,54,51,29,30,21,50,62,0,50,32,51,78,32,unset,27,66,0,53,75,73,41,27,32,22,83,39,29,11,43,42,51,61,19,30,55,71,9,35,58,48,73,42,37,44
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_10000k_h264nvenc,44,43,1,65,86,51,96,82,80,81,91,74,63,92,73,69,76,82,71,68,92,81,81,59,47,78,84,84,68,62,53,48,56,86,78,76,unset,72,85,78,34,78,84,59,63,68,66
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_2300k_h264nvenc,44,44,0,64,83,74,9,15,18,65,45,28,0,54,68,32,29,41,53,51,15,68,83,30,12,15,10,68,8,2,11,8,26,18,9,18,0,30,46,1,14,32,12,75,32,25,19
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_5300k_h264nvenc,44,44,0,44,76,54,86,38,67,63,77,72,41,93,74,40,73,74,63,68,89,67,67,50,48,55,65,86,46,41,33,31,49,47,51,66,58,48,71,34,33,82,64,66,40,50,41
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_25000k_h264nvenc,44,42,2,62,50,49,90,64,75,84,72,93,81,90,62,60,85,78,71,77,96,70,59,unset,57,100,73,80,81,13,70,40,88,80,8,77,unset,71,83,64,40,93,77,39,84,50,78
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_5000k_h264nvenc,44,39,5,55,72,68,34,unset,13,91,59,51,0,91,87,unset,13,50,64,49,27,58,71,4,6,8,11,77,36,9,10,unset,28,unset,unset,28,0,39,52,6,17,36,30,66,19,35,31
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_8500k_h264nvenc,44,42,2,62,21,50,61,38,70,89,61,71,73,72,37,unset,46,59,60,70,67,54,67,unset,48,29,55,68,42,30,11,11,50,60,50,34,31,40,79,30,35,71,39,70,69,36,37
amt_gaming_vqa_dataset/GrandtheftautoV_2_480p_1000k_h264nvenc,44,44,0,57,30,75,0,19,12,64,33,27,56,96,77,14,10,22,41,32,13,67,66,13,9,14,9,58,29,3,8,9,28,28,28,31,3,8,37,3,4,5,7,72,31,20,31
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_2500k_h264nvenc,44,44,0,54,74,22,46,25,35,72,60,50,25,50,54,22,12,41,62,62,91,60,84,31,27,11,13,76,56,29,14,27,57,34,70,19,74,45,60,25,9,42,36,82,39,51,31
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_5000k_h264nvenc,44,44,0,54,31,50,67,66,70,96,70,72,74,94,56,68,63,70,56,63,98,67,79,50,34,43,28,81,58,54,60,43,75,73,51,64,85,66,63,20,33,72,87,44,77,57,56
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_6000k_hevcnvenc,44,44,0,54,51,54,35,77,76,24,0,84,79,52,70,87,84,78,69,0,94,71,72,71,62,99,59,26,67,70,61,31,83,90,71,70,78,84,74,90,33,60,68,59,65,55,69
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_3000k_av1,44,44,0,61,75,93,92,75,75,70,71,71,69,92,42,59,56,87,52,70,97,67,72,50,36,95,62,84,40,50,21,50,72,72,68,39,78,70,74,34,41,68,34,84,46,68,50
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_800k_hevcnvenc,44,44,0,57,53,72,11,12,25,77,3,29,0,51,76,14,10,41,42,3,8,77,72,12,3,7,7,77,11,0,9,9,27,7,9,16,0,2,9,2,7,7,12,73,25,20,8
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_10000k_hevcnvenc,44,39,5,68,49,71,83,71,91,62,3,94,66,50,73,unset,unset,92,65,0,93,72,83,45,61,99,unset,26,64,66,69,32,55,unset,71,81,90,81,85,78,46,36,55,77,59,unset,78
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_1500k_hevcnvenc,44,39,5,57,93,71,23,29,37,71,0,42,42,54,88,unset,unset,31,55,2,18,73,89,32,22,50,unset,26,34,30,16,35,37,unset,58,36,66,33,80,6,16,35,30,74,59,unset,32
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_6000k_hevcnvenc,44,39,5,65,80,74,92,74,78,53,0,80,56,49,52,unset,unset,78,80,0,89,67,78,59,52,71,unset,70,69,50,53,27,68,unset,51,78,86,76,58,58,61,75,73,70,73,unset,68
amt_gaming_vqa_dataset/GrandtheftautoV_2_480p_800k_hevcnvenc,44,44,0,46,76,54,28,0,28,19,2,28,0,51,79,14,9,41,33,0,13,73,77,30,6,24,13,23,10,1,9,8,27,6,29,29,11,19,16,2,7,0,27,72,27,28,22
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_1500k_hevcnvenc,44,44,0,48,32,73,22,18,32,71,0,45,28,49,80,25,55,69,44,0,50,57,66,31,30,14,13,25,28,25,9,35,38,49,70,57,40,43,56,24,29,25,30,72,42,37,31
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_3500k_hevcnvenc,44,44,0,52,78,82,49,55,76,74,18,60,66,52,69,78,59,79,69,1,50,67,81,68,46,79,47,29,45,29,26,50,82,59,78,62,67,59,83,78,27,65,53,60,73,53,59
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_1000k_h264nvenc,44,44,0,53,29,84,0,5,0,56,34,0,0,50,64,32,9,13,38,29,6,90,65,4,5,18,12,82,23,1,8,9,21,13,8,2,0,0,15,0,3,0,13,51,18,20,9
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_600k_hevcnvenc,44,44,0,53,29,71,6,0,2,58,27,0,21,50,85,15,20,22,30,0,4,70,81,3,8,10,9,20,2,4,9,8,18,31,6,6,0,4,17,0,9,7,20,61,28,19,9
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_500k_av1,44,44,0,68,73,51,21,0,13,65,37,28,0,49,95,13,10,59,37,25,8,60,64,22,16,26,10,79,5,8,9,9,17,11,12,30,20,10,38,2,23,7,19,70,6,30,17
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_1000k_h264nvenc,44,43,1,63,25,73,0,0,0,81,33,6,9,94,75,24,11,31,38,35,0,64,66,3,0,2,8,40,21,0,8,unset,19,14,7,26,12,0,15,4,1,0,18,58,13,14,7
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_1300k_av1,44,44,0,46,72,87,21,23,41,78,74,59,37,51,77,50,38,50,51,51,28,69,86,50,23,30,16,48,26,29,15,9,57,40,78,23,54,29,51,8,45,21,21,81,55,41,38
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_3500k_hevcnvenc,44,44,0,69,51,30,75,88,94,54,0,72,72,49,83,86,76,88,82,0,96,59,56,59,61,55,83,74,85,67,73,22,88,82,91,43,91,90,93,76,46,77,86,59,74,82,60
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_2500k_h264nvenc,44,44,0,66,72,33,85,46,68,70,74,49,12,93,81,39,13,50,58,56,39,66,81,59,28,13,62,76,38,50,51,22,81,94,40,39,20,45,71,13,33,45,68,88,41,62,57
amt_gaming_vqa_dataset/GrandtheftautoV_2_480p_1000k_av1,44,43,1,61,69,49,25,9,45,59,46,50,8,94,56,31,21,31,54,52,37,67,85,50,23,18,unset,77,42,27,8,21,31,15,44,10,8,37,51,2,18,29,31,69,46,32,31
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_2000k_hevcnvenc,44,44,0,68,30,69,44,73,60,63,0,57,27,52,56,44,70,78,64,0,31,58,82,78,29,11,41,34,43,50,60,29,84,44,90,44,24,65,82,35,40,46,78,70,54,76,53
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_6000k_hevcnvenc,44,43,1,58,79,20,74,87,86,63,0,72,83,50,63,87,77,87,86,52,86,72,78,68,60,77,unset,19,83,71,84,68,74,86,92,94,81,73,82,100,62,98,83,69,88,81,92
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_800k_hevcnvenc,44,44,0,69,49,52,13,6,9,64,6,8,0,50,66,21,19,41,36,0,3,70,67,4,23,1,14,75,16,0,11,9,31,20,8,20,4,9,14,1,7,2,29,75,12,34,13
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_10000k_hevcnvenc,44,39,5,47,28,48,95,86,100,17,7,49,74,47,45,unset,unset,97,72,0,72,64,64,71,71,88,unset,66,100,92,91,52,82,unset,91,87,89,74,84,85,74,92,82,40,93,unset,86
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_1500k_hevcnvenc,44,39,5,64,47,31,45,21,50,60,3,29,44,50,55,unset,unset,59,67,4,17,70,56,50,34,16,unset,22,28,29,55,14,72,unset,60,30,37,46,81,4,39,27,58,57,11,unset,31
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_6000k_hevcnvenc,44,39,5,45,70,76,64,76,79,61,0,48,75,93,73,unset,unset,78,72,0,81,63,52,35,61,58,unset,20,93,64,91,50,79,unset,92,82,72,68,89,100,64,91,87,44,78,unset,92
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_800k_hevcnvenc,44,44,0,48,22,31,39,26,22,78,0,7,0,51,81,20,22,31,58,0,8,65,74,4,11,8,8,74,23,5,11,8,34,19,21,23,25,1,47,4,23,12,30,65,64,28,17
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_1500k_hevcnvenc,44,43,1,66,75,51,26,unset,28,71,0,49,68,50,66,15,63,41,55,0,29,74,60,50,29,26,66,23,34,33,61,19,81,31,71,26,37,38,89,20,27,40,30,59,59,70,57
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_5000k_h264nvenc,44,43,1,57,80,28,83,73,78,75,73,59,85,52,46,87,83,87,67,64,50,63,71,83,67,71,90,79,69,unset,86,84,75,72,71,79,73,69,82,28,56,78,65,64,95,78,68
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_600k_hevcnvenc,44,44,0,62,49,25,0,6,20,70,0,8,0,50,63,22,11,31,31,0,2,63,62,3,6,12,14,81,14,11,9,8,16,18,5,22,26,0,36,8,5,0,14,69,16,20,12
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_1500k_av1,44,44,0,53,49,70,23,27,60,82,77,70,29,93,59,32,34,74,53,61,50,77,86,37,52,60,17,83,4,36,18,45,53,45,59,36,75,67,59,36,53,15,7,75,45,32,38
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_5000k_av1,44,43,1,61,81,82,68,69,80,82,81,72,66,96,53,87,77,78,73,57,96,73,85,78,57,89,75,74,64,79,55,unset,93,85,55,72,99,60,70,58,56,72,62,74,71,73,88
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_500k_av1,44,44,0,59,51,50,18,12,36,62,52,29,0,70,82,21,12,31,40,47,18,74,61,29,5,95,9,81,21,10,8,9,29,22,41,22,18,24,46,1,17,7,24,64,19,30,24
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_10000k_av1,44,43,1,47,79,51,79,unset,71,91,68,73,73,50,54,41,70,92,72,73,94,74,72,96,60,97,71,81,79,61,60,51,57,87,9,52,57,74,85,47,45,93,58,76,73,55,72
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_1000k_av1,44,44,0,51,54,30,52,11,55,87,56,47,37,72,56,40,23,59,67,59,60,67,69,50,26,34,23,72,55,30,28,63,37,36,8,49,57,45,68,35,25,41,26,69,32,37,31
amt_gaming_vqa_dataset/GrandtheftautoV_2_2160p_5000k_av1,44,44,0,58,69,29,62,70,86,92,76,72,84,91,33,68,69,78,72,60,66,68,87,87,65,86,65,73,74,92,66,35,65,54,7,71,83,66,85,79,37,60,62,69,65,50,66
amt_gaming_vqa_dataset/GrandtheftautoV_2,44,43,1,66,73,87,75,68,82,75,81,100,75,50,80,92,91,93,79,76,91,61,72,97,67,unset,82,77,63,70,69,23,35,82,9,83,88,79,8,82,61,57,83,61,70,48,91
amt_gaming_vqa_dataset/skyrim_2_720p_500k_av1,42,42,0,54,7,24,0,22,94,49,60,0,0,0,28,92,51,8,73,29,24,14,7,32,89,31,23,81,43,6,50,34,34,36,20,13,21,50,3,38,14,8,19,11,50,,
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_5000k_av1,42,42,0,70,95,81,65,70,94,70,64,79,81,71,64,59,72,94,83,71,40,93,74,62,89,63,89,67,90,81,59,77,72,74,94,78,76,58,83,50,94,85,66,90,72,,
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_1500k_av1,42,42,0,54,81,83,68,50,90,77,64,86,63,73,64,58,50,70,73,59,48,80,76,56,96,80,67,74,91,43,63,52,60,68,89,72,69,70,68,76,58,54,70,60,70,,
amt_gaming_vqa_dataset/Kenabridgeofspirits_2,42,41,1,51,92,74,91,72,82,28,37,85,72,70,75,67,50,84,93,73,53,82,84,76,81,73,100,81,92,93,60,46,41,96,unset,89,92,79,65,65,88,93,100,92,68,,
amt_gaming_vqa_dataset/skyrim_2_480p_1000k_av1,42,42,0,53,23,19,30,6,84,82,58,41,0,49,37,55,73,26,76,29,39,53,9,29,89,27,7,75,55,26,59,45,64,55,17,5,22,51,26,64,27,20,0,22,50,,
amt_gaming_vqa_dataset/skyrim_2_720p_3000k_av1,42,42,0,60,71,62,80,59,93,28,61,74,50,69,64,55,50,37,94,71,83,59,50,47,88,47,95,90,94,45,69,50,95,69,41,19,37,77,34,58,39,65,73,58,70,,
